id,caption
1,A man with sunglasses on puts a chip in his mouth .
2,Two dogs are running through a grassy area near tall trees .
3,A woman in a white apron and a man with a yellow shirt stand in front of a counter filled with meat .
4,A little boy wearing blue shoveling sand on the beach .
5,A crowd is gathered around a man watching a performance .
6,Two man and women making coffee .
7,The boy is doing a jump in the air on his bike .
8,"""A baseball player is sliding into a base 
9,"""Two teams playing against each other 
10,Two young men talk together on an outdoor sidewalk on a dark night .
11,"""A man is walking on a cobblestone street 
12,Chefs standing on a busy street with their products .
13,A small child in khaki shorts and a helmet rides a two-wheeled kick scooter .
14,A man consumed by his surroundings .
15,A person is kneeling between two horses
16,A brightly dressed woman smiles and shows off her pink hoop .
17,A young boy leans against a post with a striped flag .
18,A young man at a bowling alley posing on the scoring machine .
19,"""Two men in suits standing in front of a bus 
20,A black dog runs in a yard while a woman observes
21,A man jumping sideways in the ocean .
22,A person walking by a window with the drapes closed .
23,A helmeted BMX biker leaps into the air on his bike .
24,The woman places a ball into the jumping dog 's mouth .
25,Two solders are carrying multiple Christmas presents .
26,a man on stage singing into a microphone .
27,A shot haired woman in a white shirt giving a long-haired woman in a red shirt a manicure .
28,A child wearing a red winter hat is standing in the snow holding a snow shovel with a red handle .
29,a dog runs through the long grass .
30,"""An all male choir and soloist are performing 
31,A man sitting in the street with no shoes on .
32,A man sitting on a bench with his bicycle leaning against a railing .
33,a man standing on a street holding a basket besides his head
34,A young child looking very excited about a Christmas gift .
35,The dog is climbing out of the water with a stick .
36,"""At a beach 
37,An Asian woman in a misspelled t-shirt fans herself in the mid-afternoon sun while waiting for a bus in the city .
38,Young ladies who are dancing a choreographed dance production .
39,"""A man is on stage singing 
40,This girl has got some skills and is showing them off by playing with fire !
41,A dog carries a large stick in its mouth over the grass .
42,Several men working on a motorcycle .
43,"""Man donned in jeans and football jersey prepares a meal complete with mean and beer 
44,trick or treaters are sitting on the side of a porch .
45,A blond man with a leather jacket playing a guitar and singing .
46,Several young people stand on a speeding motorboat with SCUBA gear .
47,A boy is jumping on a bed .
48,a lone rock climber in a harness climbing a huge rock wall .
49,An old Ford passes through the street .
50,A smiling bearded man wears a shirt with an orange peace sign
51,"""Two scuba divers underwater 
52,An older man speaking to two young boys .
53,A woman repaints a room inside her apartment
54,A woman kneels to take a photo of another woman in an open plaza .
55,A man cleaning a table in somebody 's home with 3 other guys in the background cooking .
56,Eight people are shown in the picture in snow gear seeming to be skiing .
57,Waitress working in a restaurant cutting watermelon .
58,A baby sticking out his tonge while looking at a spraying water fountain .
59,"""A man in a military uniform stands next to what appears to be a military k-9 dog 
60,"""Some firemen have blocked off the street 
61,Several children running across a field of white sand .
62,Young people standing together while dining beer and smoking cigarettes .
63,A young girl in a yellow shirt with a falconer 's glove and hawk perched on it is being assisted by a man with a ball cap and microphone in one hand .
64,guys looking at a camera in store
65,A group of people are standing around a red firetruck .
66,Three hockey players struggle with the puck in front of the goal .
67,Two uniformed men on rollerblades talk to a hooded man in an alley .
68,Four young kids playing on a porch while a man stands on the steps .
69,A woman in a polka dot shirt washing colorful clothes in a wide flat pan .
70,"""Happy 
71,The white and brown-spotted dog is walking through shallow water .
72,Brown and white dog running through a grassy field .
73,Sparks fly as a man welds steel .
74,A bride and groom walk up a stone staircase in front of a stone building .
75,A ceremony with one man speaking and another man adjusting the robes on other person whose faces is partially covered being held in a mosque with many observers .
76,A young boy is looking through binoculars at a playground .
77,"""three men stand on stage in tuxedos 
78,A black dog swimming .
79,People walking toward a beach .
80,A man and woman spray painting a wall with art .
81,A brunette boy and girl smile for the camera while drawing faces on a white balloon .
82,A blond baby girl in green is walking and holding a box .
83,People boating on a lake with the sun through the clouds in the distance .
84,A woman painting someone 's nails with red nail polish .
85,Two men are standing and smiling .
86,An overweight women prepares skins a pineapple .
87,A young boy does a handstand on his canoe .
88,A young man in a red uniform kicking a soccer ball .
89,A person is jumping on a snowboard on a snowy hill with several trees in the background
90,A man runs with his dog as people watch from nearby tents .
91,Three women out for the evening in a big city .
92,This picture is of a man and a woman cooking .
93,A man weaving yellow yarn on wooden loom .
94,Two girls and two men playing at the beach .
95,"""One in a blue shirt using his cellphone 
96,Man in a red shirt and pans jumping into a hay stack .
97,A man is climbing a ladder while two women stand by to spot .
98,"""Three men wearing shorts stand in the parking lot of a building labeled a """" factory . """
99,Two ladies are reading through binders .
100,A man wearing sunglasses is playing the guitar .
101,Two trumpet players play in the city
102,A boy in green Christmas pajamas is opening his present .
103,A jockey wearing red rides a horse over a lush green grassy area .
104,A gray-haired man singing in a crowd and playing an acoustic guitar .
105,A group of people are walking down a road .
106,A lacrosse game features two players in blue and orange playing for a goal .
107,Five backpackers hiking along a rocky slope .
108,An extreme biker cuts a corner in the forest .
109,A young lady at a park grilling chicken .
110,Four people group hugging .
111,A woman bending over backwards .
112,A little boy holds a decorated cardboard box on his head .
113,A long-haired young man skateboarding on the rails on a cloudy day .
114,Two black and brown dogs are running through a field .
115,A woman in a brilliant red dress participates in a military ceremony .
116,two men sit at a encripted stone in the mountains .
117,A motorbike jumping a pole .
118,A policeman is standing outside a church .
119,The black dog wearing a red collar shakes water off .
120,Players on a soccer field performing for the crowd .
121,A woman holds a child as the look at a fish aquarium .
122,"""One man wearing a white shirt is talking enthusiastically to two men 
123,People are waiting for a train at the subway .
124,A woman on the floor covered in cake .
125,A man being pushed in a wheelchair through a library .
126,Man in a black hat and green jacket .
127,Children are under a large fountain in the city .
128,A black dog jumping through high snow .
129,A man in a light blue sweatshirt walks down a dirt path .
130,A couple attending an indoor business event are speaking with a representative in a nice suit .
131,A man in a plaid shirt plays a guitar in front of a microphone .
132,A person riding in the back of one vehicle is looking down the road towards a yellow truck .
133,A man is flexing his biceps while standing on a rooftop with multiple chimneys in the background .
134,A group of young people stand on top of steps .
135,A group of people at a protest to stop the building of the Kingsworth coal power plant .
136,A little girl in pink boots runs down the street .
137,A woman cutting a brown cake .
138,A few people walking down a walkway .
139,A crowd of people gathered in a public place outdoors sitting at picnic tables .
140,A young man is gaining power to hit a punching bag as his peers watch from behind him .
141,People and camels at a beach .
142,A man and a woman watch two dogs .
143,A man in a gray t-shirt standing in front of a snow-covered mountain .
144,People wearing peacock uniforms who are about to perform a dance of some kind .
145,"""A man 
146,A girl wearing a blue top sitting on rocks by the water .
147,The little boy in the dress shirt sits while the two little girls talk .
148,A man with long hair plays a guitar .
149,Two people making music with a guitar and keyboard .
150,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie .
151,An artist posing with his work
152,A young girl wearing a pink hat swinging on a swing set .
153,"""Three people 
154,A smiling child is swinging on a swing .
155,A black dog splashes in the water .
156,Two dogs both have the same stick in their mouth while they are swimming .
157,Two young women being to cross the street as a yellow school bus passes .
158,A young man rides a self built bicycle across the street .
159,Two dogs playing outside .
160,Blond-haired male and female walking in front of Hello Berlin .
161,A small boat carrying at least one passenger floats in the water near a dock around sunset .
162,"""A group of young women 
163,A little boy in denim overalls slides down an orange slide .
164,"""Two men support a third 
165,A large man in a red shirt is struggling to ride his bike past a shop that sells sweets .
166,A woman in a blue shirt and jeans is throwing something away in a dumpster .
167,A ballerina on a city street with a dark gate in the background holding a balloon .
168,The boy in the red and white suit is on a skateboard .
169,A little girl wearing a pink sundress and a big smile with blond-hair strapped on the carousel horse with an orange seat belt taking a ride with Nemo and the crowd in the background
170,Three women are gathered around a table looking at items .
171,A boy plays with a foam noodle toy by a pool .
172,Many people protest as they walk down the street .
173,A woman sitting and getting a haircut by another woman .
174,Two women stand in a kitchen and wipe down trays
175,"""Outside a mobile home 
176,A man with a black backpack walks down a road with water on either side .
177,Two warmly dressed small children are looking at an object together .
178,Young girl in black pant and a white shirt stands in front of water performing a swan like ballerina movement .
179,Several men in fluorescent pinnies work on a structure shrouded in a green veil while a cherry picker truck hauls material .
180,Photographer captures his shadow as he photographs young boys mingling on the lawn .
181,Two people at the top of a beach side cliff .
182,A little boy with red-hair is watching a model train on the tracks .
183,"""There is a man 
184,a black dog enjoys an ice cream cone .
185,"""At a outdoor stage 
186,A man jumps off a rock into the water
187,Someones getting their nails painted red .
188,Men standing on platforms attached to vertical logs with saws .
189,A public speaker discussing what needs to be changed .
190,The two men are playing chess in the park .
191,"""Two jockeys 
192,"""A woman playing tennis 
193,A guy and a girl talking by the grocery aisle .
194,A band playing a gig in a club .
195,Three girls are sitting cross-legged on a floor .
196,Two boys in a wooded area are placing leaves in a clear viewing container .
197,"""People wearing hats are looking at something 
198,"""A motocross rider 
199,A very busy walkway with a man directing .
200,"""A little girl wearing a pink 
201,A guy pushes cart full of water in bags on the travelator .
202,"""There is a large gathering of people 
203,Running in the Olympics .
204,Many people shopping in a department store .
205,A person is walking down the street holding up his hand hoping the person he 's on the phone with can see him .
206,A man in white flees men dressed as law enforcement agents .
207,People gather around a pile of blankets .
208,A dark-haired girl standing in front of a performing band .
209,Young man sitting down eating salad .
210,A group of people and a dog sitting on concrete bleachers .
211,A person sitting on chair in front of a crowd .
212,People in yellow shirts ride smile as they ride exercise bikes .
213,A woman and two men wearing black jackets .
214,A little league baseball player prepares to run after he hits the ball .
215,There is a large crowd lined up along either side of this road .
216,Construction workers work with a backhoe and shovels near a snow fence .
217,People sitting at a dining table raise their glasses in a toast .
218,A woman is standing next to a car with her hand in a bag .
219,"""A man in a suit 
220,man cooking with a pan in a commercial kitchen .
221,This is a ferry train in a busy city .
222,A girl dressed in pink runs from the ocean to the beach .
223,"""A food vendor stands behind a display of bins of several types of nuts 
224,Businessman making his way with his bags .
225,A small boy plays on a blue toy structure .
226,A group of young men have finished their drinks while sitting at a table in a restaurant .
227,"""Three smiling women 
228,People are leaving the Lincoln Center Theater after a production of Rodgers and Hammerstein 's South Pacific .
229,An crowded oriental marketplace set in a narrow street .
230,The woman is wearing a black hat with an American flag on it .
231,A woman with a multicolored shirt and gray pants standing inside of a doorway smoking a cigarette .
232,Dog catching Frisbee .
233,A man in a red jacket is standing in front of a tall white building .
234,Three workers out on the field playing .
235,A man with black and gray hear with glasses lies down next to a young boy while both are smiling at each other .
236,A skinny brown dog walks across a large piece of fallen tree .
237,A girl and two boys are playing in water .
238,A group of people put two of their fingers on a Frisbee .
239,People walking in front of heavily painted wall .
240,Pedestrians busy walking and shopping .
241,people walking down a sidewalk next to water .
242,the scientists are experiments
243,"""A crowded escalator is filled with people wearing business suits 
244,A man is sitting on a stage playing a violin in an empty stadium .
245,A muscular runner takes place in a marathon in the rain while spectators watch from under umbrellas .
246,A musician on the curb side displaying his talent publicly .
247,A group of girls is waiting to catch another girl that is doing a somersault in the air .
248,A child in a red shirt plays with fireworks .
249,A man in a fleece jacket works with a piece of tin .
250,A woman opens a gift while standing in a dining room that has been festively decorated : her face is obstructed by one of the decorations .
251,Children stand and wait for the train .
252,A young boy plays with a machine gun on a jeep .
253,A man walks past weathered posters on urban street .
254,A man is crouched down on a skateboard and is being pulled along in the water .
255,Two men in bright orange service uniforms lean on a railing of an overpass .
256,A woman is standing in front of a display that has a model and numerous pairs of shoes .
257,"""A man sitting under an umbrella 
258,"""The blue jersey softball player is sliding on to base kicking up sand 
259,A man prepares morning coffee in a steel mug .
260,Child with curly hair laying in a field holding a dandelion .
